		Earners	Median age of earners	Sum	Median	Mean	P80/P20	P80/P50	P20/P50	P10/P50	Gini coefficient	Top 1%	Top 5%	Top 10%	Lowest Quartile	Second Quartile	Third Quartile	Highest Quartile
21270	Buloke	 3,891	  50 	 221,241,829	 45,213	 56,860	7.59 	1.97 	0.26 	0.08 	0.519 	7.1 	20.9 	33.2 	30.3 	28.2 	23.7 	17.9 
21370	Campaspe	 24,291	  46 	 1,364,141,737	 47,727	 56,158	6.46 	1.83 	0.28 	0.09 	0.485 	7.4 	19.6 	30.8 	28.6 	28.3 	26.5 	16.6 
21450	Cardinia	 75,666	  39 	 4,849,245,288	 54,620	 64,088	4.84 	1.77 	0.37 	0.13 	0.444 	7.0 	18.4 	29.2 	22.8 	27.7 	28.6 	20.9 
21610	Casey	 227,771	  39 	 14,386,944,589	 53,430	 63,164	4.73 	1.74 	0.37 	0.14 	0.445 	8.2 	19.3 	29.8 	23.1 	28.5 	29.2 	19.2 
21670	Central Goldfields	 6,866	  47 	 331,493,913	 41,119	 48,280	7.59 	1.86 	0.24 	0.08 	0.482 	6.3 	18.6 	30.1 	33.2 	30.1 	25.1 	11.7 
21750	Colac-Otway	 14,669	  45 	 825,219,451	 48,226	 56,256	6.09 	1.77 	0.29 	0.09 	0.478 	7.2 	19.8 	30.9 	28.2 	28.3 	27.8 	15.8 
21830	Corangamite	 10,577	  47 	 608,486,580	 47,670	 57,529	6.59 	1.86 	0.28 	0.08 	0.500 	7.4 	20.6 	32.1 	28.5 	27.6 	26.4 	17.5 
21890	Darebin	 98,043	  39 	 7,511,251,492	 61,198	 76,612	5.58 	1.88 	0.34 	0.13 	0.471 	7.7 	20.4 	31.7 	22.1 	23.4 	25.3 	29.2 
22110	East Gippsland	 28,807	  49 	 1,484,067,059	 42,708	 51,518	7.38 	1.90 	0.26 	0.08 	0.496 	6.9 	19.9 	31.5 	31.7 	30.4 	23.7 	14.2 
22170	Frankston	 88,062	  42 	 5,667,963,259	 55,229	 64,363	5.19 	1.80 	0.35 	0.12 	0.441 	5.8 	17.5 	28.4 	23.4 	26.4 	27.9 	22.2 
22250	Gannawarra	 6,330	  50 	 326,826,668	 43,336	 51,631	7.83 	1.85 	0.24 	0.06 	0.527 	7.4 	21.1 	32.9 	32.3 	28.7 	24.8 	14.2 
22310	Glen Eira	 103,760	  42 	 9,326,370,955	 64,165	 89,884	6.91 	2.07 	0.30 	0.10 	0.526 	10.4 	24.9 	36.5 	23.3 	21.3 	21.6 	33.8 
22410	Glenelg	 12,224	  48 	 726,321,573	 48,703	 59,418	6.86 	1.94 	0.28 	0.09 	0.488 	7.1 	19.5 	30.8 	28.1 	27.3 	24.8 	19.9 
22490	Golden Plains	 15,956	  44 	 1,038,711,002	 54,176	 65,098	5.60 	1.87 	0.33 	0.11 	0.465 	7.1 	19.0 	30.0 	24.3 	26.6 	26.3 	22.9 
22620	Greater Bendigo	 75,278	  42 	 4,639,093,062	 52,158	 61,626	5.76 	1.82 	0.32 	0.10 	0.460 	6.7 	18.7 	29.8 	25.6 	27.1 	27.2 	20.1 
22670	Greater Dandenong	 94,459	  38 	 5,012,475,541	 46,655	 53,065	5.16 	1.73 	0.34 	0.13 	0.439 	5.7 	17.3 	28.3 	27.5 	31.5 	27.5 	13.5 
22750	Greater Geelong	 172,224	  41 	 11,566,370,246	 53,988	 67,159	5.91 	1.89 	0.32 	0.11 	0.476 	8.2 	20.6 	31.7 	24.9 	26.0 	25.9 	23.3 
22830	Greater Shepparton	 42,114	  42 	 2,413,377,015	 49,115	 57,306	5.81 	1.79 	0.31 	0.11 	0.465 	7.0 	19.0 	29.9 	27.2 	28.5 	27.5 	16.9 
22910	Hepburn	 9,977	  50 	 611,572,525	 44,928	 61,298	7.74 	2.06 	0.27 	0.08 	0.540 	10.7 	24.7 	36.5 	30.4 	27.9 	22.7 	19.0 
22980	Hindmarsh	 3,361	  49 	 204,932,849	 49,979	 60,974	6.42 	1.81 	0.28 	0.08 	0.517 	8.5 	22.6 	34.3 	27.4 	27.9 	26.5 	18.2 
23110	Hobsons Bay	 59,059	  42 	 4,804,955,722	 64,707	 81,359	5.84 	1.90 	0.33 	0.12 	0.477 	7.9 	20.7 	31.9 	21.8 	21.7 	24.4 	32.1 
23190	Horsham	 13,221	  44 	 833,849,258	 52,394	 63,070	6.15 	1.83 	0.30 	0.10 	0.476 	7.2 	20.0 	31.2 	26.2 	26.4 	26.7 	20.7 
23270	Hume	 139,641	  37 	 8,267,767,166	 50,731	 59,207	5.24 	1.82 	0.35 	0.13 	0.443 	5.5 	17.1 	28.1 	25.3 	28.6 	27.3 	18.9 
23350	Indigo	 11,623	  48 	 698,885,277	 51,723	 60,130	6.50 	1.84 	0.28 	0.09 	0.471 	6.1 	18.2 	29.4 	27.0 	25.7 	26.9 	20.4 
23430	Kingston	 105,456	  43 	 7,799,731,910	 59,447	 73,962	6.11 	1.92 	0.31 	0.11 	0.476 	7.2 	19.7 	31.1 	23.6 	23.3 	24.6 	28.5 
23670	Knox	 105,861	  43 	 6,920,081,035	 55,102	 65,370	5.91 	1.86 	0.31 	0.11 	0.458 	6.1 	18.1 	29.4 	25.0 	25.0 	26.6 	23.4 
23810	Latrobe	 44,600	  42 	 2,778,248,506	 50,873	 62,293	6.57 	1.93 	0.29 	0.10 	0.474 	6.1 	18.7 	30.5 	26.9 	26.8 	24.9 	21.5 
23940	Loddon	 4,432	  50 	 232,095,176	 44,149	 52,368	7.82 	1.84 	0.24 	0.06 	0.518 	6.6 	20.5 	32.5 	31.7 	28.7 	24.9 	14.7 
24130	Macedon Ranges	 33,613	  46 	 2,608,032,532	 58,755	 77,590	6.75 	2.01 	0.30 	0.09 	0.507 	8.8 	22.2 	33.8 	24.5 	23.1 	22.4 	30.0 
24210	Manningham	 84,280	  46 	 6,386,035,577	 50,675	 75,772	8.54 	2.27 	0.27 	0.08 	0.555 	11.5 	26.0 	38.2 	29.0 	23.8 	20.2 	27.0 
24250	Mansfield	 6,498	  49 	 368,611,597	 43,109	 56,727	7.38 	1.99 	0.27 	0.09 	0.524 	9.6 	23.2 	35.1 	31.1 	29.4 	22.9 	16.6 
24330	Maribyrnong	 60,557	  37 	 4,527,378,551	 61,370	 74,762	5.70 	1.88 	0.33 	0.11 	0.462 	6.5 	18.8 	30.1 	22.4 	23.1 	25.0 	29.4 
24410	Maroondah	 75,278	  43 	 5,236,182,406	 57,234	 69,558	6.03 	1.90 	0.32 	0.11 	0.462 	6.3 	18.4 	29.8 	24.1 	24.2 	25.4 	26.3 
24600	Melbourne	 121,758	  32 	 9,047,651,227	 50,231	 74,308	8.61 	2.16 	0.25 	0.08 	0.561 	13.8 	28.1 	39.6 	29.5 	23.9 	21.4 	25.3 
24650	Melton	 109,985	  38 	 6,876,589,309	 55,118	 62,523	4.92 	1.75 	0.36 	0.14 	0.426 	4.9 	16.1 	27.0 	23.1 	26.9 	28.9 	21.1 
24780	Mildura	 35,840	  42 	 1,960,022,425	 47,096	 54,688	6.30 	1.81 	0.29 	0.10 	0.479 	7.1 	19.2 	30.4 	28.6 	29.3 	26.6 	15.5 
24850	Mitchell	 30,567	  40 	 1,926,103,034	 55,162	 63,012	4.84 	1.76 	0.36 	0.13 	0.437 	5.7 	17.0 	27.8 	22.6 	27.3 	28.9 	21.1 
24900	Moira	 18,488	  46 	 1,003,170,227	 46,003	 54,261	6.70 	1.86 	0.28 	0.08 	0.494 	7.0 	19.5 	30.9 	29.4 	28.8 	25.9 	15.9 
24970	Monash	 129,144	  41 	 8,961,056,858	 50,599	 69,388	8.16 	2.14 	0.26 	0.08 	0.526 	9.6 	23.1 	35.0 	29.1 	23.9 	21.8 	25.1 
25060	Moonee Valley	 82,980	  42 	 7,049,090,616	 64,980	 84,949	6.05 	1.93 	0.32 	0.12 	0.497 	9.2 	22.7 	34.0 	22.0 	21.6 	23.6 	32.8 
25150	Moorabool	 23,833	  42 	 1,614,369,937	 56,973	 67,737	5.40 	1.86 	0.34 	0.13 	0.453 	6.2 	18.0 	29.0 	23.2 	25.4 	26.2 	25.2 
25250	Moreland	 115,518	  37 	 8,585,407,989	 61,792	 74,321	5.33 	1.85 	0.35 	0.14 	0.452 	6.4 	18.4 	29.5 	21.5 	23.6 	25.6 	29.2 
25340	Mornington Peninsula	 106,628	  48 	 7,786,509,240	 49,732	 73,025	7.39 	2.13 	0.29 	0.09 	0.548 	13.1 	27.4 	39.0 	28.0 	26.0 	22.1 	23.9 
25430	Mount Alexander	 12,161	  50 	 702,188,139	 45,397	 57,741	8.63 	2.05 	0.24 	0.07 	0.511 	7.1 	20.4 	32.3 	31.6 	26.0 	23.0 	19.4 
25490	Moyne	 11,580	  47 	 736,022,901	 50,956	 63,560	5.99 	1.87 	0.31 	0.11 	0.500 	8.4 	22.1 	33.4 	26.5 	27.2 	26.0 	20.2 
25620	Murrindindi	 9,468	  49 	 538,481,664	 45,930	 56,874	7.26 	1.96 	0.27 	0.08 	0.506 	7.1 	20.2 	32.2 	30.0 	27.9 	24.1 	18.0 
25710	Nillumbik	 44,037	  46 	 3,585,554,991	 61,083	 81,421	6.70 	2.03 	0.30 	0.10 	0.504 	9.0 	22.2 	33.7 	23.9 	22.2 	21.9 	32.0 
25810	Northern Grampians	 7,328	  47 	 400,551,874	 46,421	 54,660	7.25 	1.82 	0.25 	0.08 	0.498 	7.1 	19.8 	31.4 	29.7 	28.2 	26.5 	15.6 
25900	Port Phillip	 78,788	  39 	 8,250,337,625	 71,840	 104,716	6.09 	1.99 	0.33 	0.12 	0.543 	13.7 	28.8 	39.9 	20.0 	19.9 	22.3 	37.7 
25990	Pyrenees	 4,294	  49 	 219,132,768	 43,180	 51,032	7.73 	1.91 	0.25 	0.05 	0.537 	6.6 	20.2 	32.4 	32.5 	28.3 	24.2 	15.1 
26080	Queenscliffe	 2,281	  59 	 173,550,161	 48,746	 76,085	10.96 	2.30 	0.21 	0.06 	0.624 	14.1 	30.9 	42.8 	32.3 	21.1 	19.6 	26.9 
26170	South Gippsland	 18,980	  49 	 1,065,507,477	 44,999	 56,138	7.00 	1.97 	0.28 	0.09 	0.520 	7.5 	20.9 	32.8 	30.1 	28.3 	23.8 	17.8 
26260	Southern Grampians	 10,516	  48 	 629,492,838	 48,510	 59,860	6.29 	1.83 	0.29 	0.08 	0.509 	9.1 	22.6 	34.0 	27.8 	28.4 	26.4 	17.4 
26350	Stonnington	 80,705	  39 	 10,511,869,008	 74,230	 130,251	6.73 	2.12 	0.32 	0.11 	0.617 	20.8 	38.1 	48.9 	20.1 	18.9 	21.4 	39.6 
26430	Strathbogie	 6,938	  51 	 392,684,870	 46,593	 56,599	7.22 	1.86 	0.26 	0.07 	0.525 	8.9 	22.1 	33.7 	29.9 	27.5 	26.0 	16.6 
26490	Surf Coast	 25,420	  45 	 1,953,490,016	 55,198	 76,849	7.22 	2.10 	0.29 	0.10 	0.523 	10.3 	23.9 	35.6 	25.9 	24.0 	21.6 	28.5 
26610	Swan Hill	 14,975	  41 	 786,802,457	 45,154	 52,541	5.93 	1.79 	0.30 	0.11 	0.479 	6.4 	19.2 	30.6 	29.8 	30.2 	26.0 	13.9 
26670	Towong	 3,943	  51 	 229,513,351	 47,427	 58,208	7.01 	1.90 	0.27 	0.08 	0.524 	8.9 	22.1 	33.6 	29.2 	27.5 	25.2 	18.1 
26700	Wangaratta	 19,212	  46 	 1,137,067,896	 49,297	 59,185	6.35 	1.84 	0.29 	0.10 	0.482 	8.0 	20.2 	31.3 	27.5 	27.7 	26.6 	18.2 
26730	Warrnambool	 23,700	  43 	 1,455,133,081	 52,003	 61,398	5.69 	1.79 	0.31 	0.11 	0.459 	7.0 	19.3 	30.2 	25.8 	27.1 	28.0 	19.2 
26810	Wellington	 27,286	  45 	 1,624,116,177	 47,872	 59,522	7.03 	1.95 	0.28 	0.09 	0.516 	7.6 	20.9 	32.9 	28.5 	27.6 	24.6 	19.3 
26890	West Wimmera	 2,522	  51 	 161,688,803	 49,495	 64,111	7.57 	1.92 	0.25 	0.08 	0.543 	9.0 	24.2 	36.4 	28.1 	26.8 	24.8 	20.2 
26980	Whitehorse	 114,428	  42 	 8,189,006,288	 51,605	 71,565	8.51 	2.18 	0.26 	0.08 	0.528 	9.2 	22.9 	35.0 	28.9 	23.3 	21.1 	26.7 
27070	Whittlesea	 139,562	  39 	 8,591,682,806	 53,628	 61,562	4.96 	1.78 	0.36 	0.14 	0.430 	5.1 	16.4 	27.3 	23.6 	27.7 	28.3 	20.4 
27170	Wodonga	 27,479	  41 	 1,678,718,061	 54,482	 61,091	4.81 	1.69 	0.35 	0.13 	0.429 	6.4 	17.4 	27.8 	23.3 	27.3 	30.8 	18.6 
27260	Wyndham	 184,198	  37 	 11,947,834,329	 55,145	 64,864	5.05 	1.84 	0.36 	0.14 	0.438 	5.4 	16.9 	28.0 	22.8 	27.1 	27.3 	22.8 
27350	Yarra	 67,402	  36 	 6,825,563,945	 75,903	 101,266	5.33 	1.86 	0.35 	0.14 	0.502 	11.4 	25.3 	36.1 	18.3 	18.9 	23.8 	39.0 
27450	Yarra Ranges	 102,516	  43 	 6,772,052,745	 54,450	 66,058	5.69 	1.87 	0.33 	0.11 	0.466 	7.1 	19.2 	30.4 	24.6 	26.0 	26.2 	23.2 
27630	Yarriambiack	 3,887	  51 	 267,440,670	 49,675	 68,804	8.01 	2.05 	0.26 	0.08 	0.560 	10.3 	26.3 	38.7 	29.5 	24.9 	23.4 	22.1 
29399	Unincorporated Vic	  608 	  31 	 19,399,752	 12,184	 31,907	969.14 	4.20 	0.00 	0.00 	0.676 	11.2 	30.5 	44.5 	56.3 	23.5 	13.7 	6.6 
Queensland		 3,357,709	  41 	 229,099,295,490	 54,076	 68,231	5.84 	1.89 	0.32 	0.11 	0.487 	9.1 	21.7 	32.8 	24.7 	26.2 	26.0 	23.1 
30250	Aurukun	  402 	  38 	 15,193,000	 18,942	 37,794	23.20 	3.89 	0.17 	0.04 	0.601 	np	21.5 	37.0 	53.9 	20.0 	12.5 	13.7 
30300	Balonne	 2,909	  41 	 187,294,696	 49,611	 64,385	6.83 	1.90 	0.28 	0.11 	0.560 	10.7 	25.9 	37.5 	27.4 	27.2 	26.0 	19.4 
30370	Banana	 9,276	  42 	 651,291,250	 56,455	 70,213	7.37 	2.11 	0.29 	0.09 	0.521 	6.5 	19.1 	31.1 	25.0 	23.9 	22.9 	28.1 
30410	Barcaldine	 1,888	  44 	 122,550,179	 53,460	 64,910	6.99 	1.90 	0.27 	0.07 	0.632 	8.6 	25.7 	38.3 	25.8 	25.3 	26.3 	22.5 
30450	Barcoo	  215 	  42 	 16,630,822	 59,933	 77,353	5.07 	1.86 	0.37 	0.17 	0.529 	np	26.4 	36.3 	22.5 	22.5 	28.9 	26.1 
30760	Blackall-Tambo	 1,189	  46 	 82,631,936	 51,481	 69,497	6.96 	1.88 	0.27 	0.07 	0.547 	10.0 	26.5 	38.2 	27.5 	25.3 	26.7 	20.5 
30900	Boulia	  239 	  41 	 18,176,554	 61,919	 76,053	4.35 	1.76 	0.40 	0.12 	0.456 	np	21.3 	32.3 	18.9 	24.8 	31.9 	24.4 
31000	Brisbane	 863,948	  39 	 69,732,639,996	 60,918	 80,714	5.88 	1.93 	0.33 	0.11 	0.501 	10.3 	23.8 	35.0 	22.6 	23.0 	25.0 	29.4 
31750	Bulloo	  208 	  41 	 13,935,017	 64,097	 66,995	3.77 	1.46 	0.39 	0.21 	0.432 	np	16.4 	27.6 	18.5 	22.0 	40.0 	19.5 
31820	Bundaberg	 58,116	  44 	 3,158,094,676	 44,984	 54,341	7.51 	1.89 	0.25 	0.07 	0.494 	7.6 	20.1 	31.7 	30.6 	29.3 	24.2 	16.0 
31900	Burdekin	 11,122	  45 	 677,123,381	 51,787	 60,881	6.07 	1.84 	0.30 	0.10 	0.484 	7.0 	19.1 	30.3 	25.6 	27.2 	26.9 	20.2 
31950	Burke	  196 	  38 	 12,506,656	 50,235	 63,809	np	np	np	np	0.501 	np	23.0 	35.5 	25.1 	30.8 	26.7 	17.4 
32080	Cairns	 110,629	  42 	 6,970,308,290	 53,044	 63,006	5.47 	1.81 	0.33 	0.11 	0.454 	6.8 	18.7 	29.7 	24.5 	27.4 	27.4 	20.7 
32250	Carpentaria	 1,215	  42 	 69,721,741	 52,075	 57,384	5.67 	1.77 	0.31 	0.12 	0.447 	4.5 	15.8 	26.8 	27.0 	25.4 	28.5 	19.1 
32260	Cassowary Coast	 19,645	  44 	 982,945,372	 41,966	 50,035	7.00 	1.87 	0.27 	0.08 	0.492 	6.9 	19.6 	31.4 	31.4 	32.8 	22.7 	13.1 
32270	Central Highlands	 18,634	  39 	 1,527,105,513	 64,994	 81,953	6.55 	2.08 	0.32 	0.11 	0.489 	6.4 	18.3 	29.9 	21.9 	21.5 	22.0 	34.7 
32310	Charters Towers	 6,862	  44 	 448,563,526	 52,792	 65,369	6.54 	1.95 	0.30 	0.09 	0.494 	8.1 	20.5 	31.8 	25.8 	26.2 	24.8 	23.1 
32330	Cherbourg	  363 	  36 	 12,784,813	 24,226	 35,220	9.52 	2.43 	0.26 	0.16 	0.505 	np	18.5 	31.2 	47.3 	30.3 	15.6 	6.8 
32450	Cloncurry	 1,873	  39 	 153,575,131	 66,683	 81,994	5.02 	1.85 	0.37 	0.12 	0.461 	8.1 	20.1 	30.7 	18.9 	23.4 	24.9 	32.8 
32500	Cook	 2,782	  42 	 145,815,334	 45,237	 52,414	6.22 	1.85 	0.30 	0.11 	0.460 	4.7 	16.9 	28.5 	30.3 	28.6 	26.3 	14.9 
32600	Croydon	  158 	  42 	 9,258,534	 49,895	 58,598	np	np	np	np	0.396 	np	14.5 	25.0 	22.6 	30.2 	27.0 	20.1 
32750	Diamantina	  181 	  42 	 12,654,539	 60,238	 69,915	np	np	np	np	0.355 	np	15.1 	25.3 	10.6 	33.9 	35.0 	20.6 
32770	Doomadgee	  475 	  39 	 18,837,815	 21,625	 39,659	18.22 	3.41 	0.19 	0.09 	0.577 	np	20.1 	35.4 	51.7 	20.5 	13.9 	13.9 
32810	Douglas	 8,800	  46 	 451,860,193	 43,068	 51,348	6.00 	1.83 	0.30 	0.11 	0.471 	6.1 	19.2 	30.8 	29.9 	32.7 	24.2 	13.2 
33100	Etheridge	  484 	  46 	 33,014,105	 52,664	 68,211	5.03 	2.03 	0.40 	0.11 	0.735 	np	31.0 	45.0 	22.0 	31.2 	22.5 	24.3 
33200	Flinders	 1,043	  45 	 69,306,866	 55,065	 66,450	5.21 	1.86 	0.36 	0.10 	0.605 	10.4 	24.8 	36.5 	23.2 	26.8 	26.2 	23.8 
33220	Fraser Coast	 58,789	  48 	 3,090,092,459	 43,302	 52,562	7.90 	1.93 	0.24 	0.07 	0.490 	6.8 	19.4 	31.1 	31.8 	29.2 	23.7 	15.2 
33360	Gladstone	 39,718	  42 	 2,908,691,016	 59,093	 73,234	7.14 	2.06 	0.29 	0.09 	0.474 	5.4 	17.3 	28.8 	24.6 	22.8 	21.3 	31.3 
33430	Gold Coast	 427,650	  41 	 29,297,840,364	 50,899	 68,509	5.54 	1.89 	0.34 	0.12 	0.511 	13.3 	25.7 	36.4 	25.2 	28.7 	25.5 	20.6 
33610	Goondiwindi	 7,010	  42 	 416,720,250	 50,273	 59,447	5.88 	1.79 	0.30 	0.09 	0.568 	12.0 	24.7 	35.8 	26.9 	28.0 	27.4 	17.7 
33620	Gympie	 30,715	  46 	 1,543,777,975	 41,272	 50,261	7.85 	1.95 	0.25 	0.07 	0.522 	7.2 	20.2 	32.3 	32.7 	30.5 	22.3 	14.5 
33800	Hinchinbrook	 6,649	  50 	 374,335,076	 48,257	 56,299	7.16 	1.90 	0.27 	0.08 	0.471 	5.1 	17.0 	28.6 	28.6 	27.1 	25.5 	18.7 
33830	Hope Vale	  418 	  37 	 17,502,986	 30,750	 41,873	23.12 	2.48 	0.11 	0.03 	0.538 	np	17.4 	31.1 	43.0 	25.2 	19.5 	12.3 
33960	Ipswich	 140,614	  38 	 8,686,271,539	 56,006	 61,774	4.64 	1.68 	0.36 	0.12 	0.416 	5.3 	16.1 	26.5 	22.4 	26.6 	31.2 	19.7 
33980	Isaac	 12,571	  39 	 1,195,325,443	 80,836	 95,086	6.01 	1.96 	0.33 	0.12 	0.462 	5.2 	16.4 	27.3 	18.4 	18.1 	20.0 	43.6 
34420	Kowanyama	  386 	  39 	 15,630,909	 27,154	 40,495	14.57 	2.57 	0.18 	0.07 	0.547 	np	19.7 	33.9 	46.2 	27.4 	13.6 	12.8 
34530	Livingstone	 25,291	  45 	 1,819,844,999	 56,836	 71,956	6.66 	2.05 	0.31 	0.10 	0.486 	6.7 	18.7 	30.5 	24.5 	24.2 	22.5 	28.7 
34570	Lockhart River	  281 	  37 	 10,536,491	 19,917	 37,496	13.87 	3.05 	0.22 	0.07 	0.586 	np	23.8 	38.4 	53.2 	24.5 	11.7 	10.6 
34580	Lockyer Valley	 25,917	  41 	 1,422,195,740	 47,728	 54,875	5.91 	1.80 	0.30 	0.10 	0.462 	6.0 	17.8 	28.9 	27.6 	29.6 	26.8 	16.0 
34590	Logan	 210,285	  39 	 12,272,669,803	 52,396	 58,362	4.74 	1.70 	0.36 	0.13 	0.423 	5.4 	16.5 	27.1 	23.9 	29.0 	30.2 	17.0 
34710	Longreach	 2,445	  41 	 146,029,543	 57,277	 59,726	4.94 	1.67 	0.34 	0.08 	0.556 	6.6 	19.3 	30.8 	23.2 	25.3 	30.7 	20.8 
34770	Mackay	 83,449	  41 	 6,339,269,177	 62,000	 75,966	5.65 	1.96 	0.35 	0.12 	0.454 	6.1 	17.5 	28.7 	21.4 	23.5 	23.9 	31.2 
34800	McKinlay	  572 	  42 	 47,198,917	 53,855	 82,516	6.16 	2.11 	0.34 	0.11 	0.649 	15.5 	34.0 	45.9 	23.7 	26.7 	24.9 	24.7 
34830	Mapoon	  145 	  39 	 6,052,164	 30,244	 41,739	np	np	np	np	0.505 	np	16.8 	30.1 	43.8 	25.7 	20.8 	9.7 
34860	Maranoa	 8,602	  42 	 565,456,008	 54,658	 65,735	5.70 	1.87 	0.33 	0.10 	0.548 	9.1 	22.5 	34.1 	24.6 	25.8 	26.3 	23.3 
34880	Mareeba	 14,854	  44 	 767,500,907	 43,068	 51,670	7.88 	1.95 	0.25 	0.08 	0.508 	6.7 	19.5 	31.4 	32.4 	29.1 	23.0 	15.4 
35010	Moreton Bay	 299,279	  42 	 19,057,184,374	 54,073	 63,677	5.43 	1.81 	0.33 	0.11 	0.451 	6.3 	18.3 	29.3 	24.2 	26.6 	27.8 	21.4 
35250	Mornington	  389 	  39 	 18,721,328	 36,300	 48,127	9.64 	2.43 	0.25 	0.07 	0.499 	np	17.2 	29.4 	38.1 	25.6 	20.2 	16.1 
35300	Mount Isa	 12,643	  37 	 1,040,502,858	 74,557	 82,299	4.84 	1.75 	0.36 	0.13 	0.415 	5.6 	15.3 	25.4 	18.4 	18.8 	25.2 	37.7 
35600	Murweh	 2,743	  42 	 173,817,257	 54,093	 63,368	5.70 	1.73 	0.30 	0.10 	0.498 	8.8 	22.1 	33.0 	25.2 	25.9 	29.5 	19.3 
35670	Napranum	  400 	  39 	 15,842,872	 22,532	 39,607	28.10 	3.31 	0.12 	0.03 	0.565 	np	17.3 	32.4 	50.0 	19.8 	17.3 	12.8 
35740	Noosa	 39,138	  49 	 2,528,953,051	 43,562	 64,616	7.85 	2.14 	0.27 	0.08 	0.560 	13.0 	27.8 	40.0 	31.0 	29.2 	20.4 	19.4 
35760	North Burnett	 6,860	  45 	 317,805,068	 39,040	 46,327	7.36 	1.88 	0.25 	0.07 	0.551 	6.6 	20.9 	33.7 	34.3 	32.4 	21.0 	12.3 
35780	Northern Peninsula Area	 1,173	  35 	 58,566,274	 42,072	 49,929	6.73 	1.91 	0.28 	0.10 	0.464 	4.9 	17.4 	29.2 	32.0 	30.8 	24.0 	13.2 
35790	Palm Island	  565 	  39 	 26,497,270	 38,473	 46,898	9.49 	2.06 	0.22 	0.09 	0.479 	4.3 	16.6 	28.6 	36.5 	26.2 	24.3 	12.9 
35800	Paroo	  855 	  46 	 43,586,350	 45,201	 50,978	10.07 	1.98 	0.20 	0.04 	0.607 	5.7 	20.8 	33.6 	30.3 	28.0 	23.8 	17.9 
36070	Pormpuraaw	  283 	  39 	 9,875,895	 20,392	 34,897	13.37 	2.93 	0.22 	0.06 	0.570 	np	21.6 	36.9 	51.8 	24.6 	13.9 	9.6 
36150	Quilpie	  572 	  42 	 35,373,227	 53,720	 61,841	5.69 	1.85 	0.33 	0.09 	0.523 	6.2 	20.2 	32.1 	24.9 	27.0 	26.0 	22.1 
36250	Redland	 103,507	  45 	 7,095,419,572	 56,231	 68,550	5.68 	1.85 	0.33 	0.11 	0.468 	7.8 	19.9 	31.0 	23.8 	25.2 	26.7 	24.2 
36300	Richmond	  592 	  41 	 45,997,509	 56,508	 77,698	4.91 	1.76 	0.36 	0.14 	0.586 	16.0 	31.7 	42.5 	22.5 	26.7 	28.4 	22.5 
36370	Rockhampton	 50,029	  40 	 3,345,322,101	 56,702	 66,868	5.47 	1.84 	0.34 	0.11 	0.451 	6.1 	17.7 	28.8 	23.2 	25.4 	27.0 	24.4 
36510	Scenic Rim	 26,936	  47 	 1,523,630,211	 46,934	 56,565	6.98 	1.92 	0.27 	0.08 	0.496 	6.7 	19.4 	31.1 	29.2 	28.1 	24.7 	18.1 
36580	Somerset	 14,970	  44 	 827,997,653	 48,718	 55,310	6.60 	1.81 	0.27 	0.08 	0.471 	6.0 	17.8 	29.0 	28.6 	27.0 	27.6 	16.7 
36630	South Burnett	 18,109	  45 	 906,854,498	 42,573	 50,078	8.33 	1.88 	0.23 	0.06 	0.508 	6.2 	19.1 	31.3 	32.5 	30.2 	23.0 	14.3 
36660	Southern Downs	 21,944	  46 	 1,063,301,989	 41,233	 48,455	7.56 	1.83 	0.24 	0.07 	0.508 	7.5 	20.3 	31.9 	32.9 	31.2 	23.9 	12.1 
36720	Sunshine Coast	 231,861	  44 	 14,764,513,973	 49,655	 63,678	6.31 	1.94 	0.31 	0.10 	0.494 	8.6 	21.8 	33.3 	26.9 	28.1 	24.5 	20.6 
36820	Tablelands	 17,081	  47 	 884,546,868	 42,029	 51,785	8.57 	1.99 	0.23 	0.06 	0.520 	7.2 	20.4 	32.6 	33.2 	29.5 	21.8 	15.6 
36910	Toowoomba	 108,471	  42 	 6,772,173,046	 52,910	 62,433	6.09 	1.81 	0.30 	0.09 	0.478 	7.9 	20.0 	31.0 	26.0 	26.1 	27.7 	20.3 
36950	Torres	 1,860	  38 	 130,894,081	 61,241	 70,373	5.15 	1.76 	0.34 	0.11 	0.432 	6.5 	17.6 	27.8 	21.8 	23.4 	27.3 	27.5 
36960	Torres Strait Island	 1,405	  39 	 64,082,927	 39,090	 45,611	5.96 	1.77 	0.30 	0.11 	0.455 	5.8 	17.7 	29.2 	32.9 	35.0 	22.1 	10.0 
37010	Townsville	 125,334	  40 	 8,594,525,771	 59,541	 68,573	4.91 	1.73 	0.35 	0.12 	0.438 	6.8 	18.1 	28.6 	21.7 	24.5 	29.3 	24.5 
37300	Weipa	 2,929	  37 	 277,214,654	 91,699	 94,645	3.54 	1.52 	0.43 	0.18 	0.363 	5.1 	14.0 	23.1 	13.0 	15.1 	23.4 	48.4 
37310	Western Downs	 20,689	  42 	 1,227,106,830	 49,717	 59,312	6.97 	1.90 	0.27 	0.08 	0.521 	6.9 	20.4 	32.4 	28.5 	26.2 	25.5 	19.8 
37340	Whitsunday	 25,747	  41 	 1,622,750,457	 49,925	 63,027	5.99 	1.97 	0.33 	0.11 	0.483 	6.8 	19.5 	31.6 	25.6 	29.4 	24.0 	21.0 
